ID,STANAME,LAT,LON,COMID,GRP,COMID.DUP,eco3,ecos3.NA,AggEco,npdes,fwwd,strg,devl,cndp,wy1990,wy1991,wy1992,wy1993,wy1994,wy1995,wy1996,wy1997,wy1998,wy1999,wy2000,wy2001,wy2002,wy2003,wy2004,wy2005,wy2006,wy2007,wy2008,wy2009,wy2010,wy2011,wy2012,wy2013,wy2014,wy2015,wy2016,wy2017,wy2018
T01022260,"Pleasant River near Epping, Maine",44.697778,-67.787222,2677732,g2,FALSE,82,8.1.8,NorthEast,0,0.22,2583,0.33,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
T01022294,"East Br Bear Brook near Beddington, Maine",44.85909167,-68.10396389,2679458,g3,FALSE,82,8.1.8,NorthEast,0,0.41,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
T01022330,"Narraguagus River at Deblois, Maine",44.740833,-68.013333,2680780,g2,FALSE,82,8.1.8,NorthEast,0,0.39,495,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
T01022500,"Narraguagus River at Cherryfield, Maine",44.607972,-67.935242,2677104,g2,FALSE,82,8.1.8,NorthEast,0,0.36,7021,0.35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01022835,"Cadillac Brook near Bar Harbor, Maine",44.34416667,-68.2169444,2683170,g3,FALSE,82,8.1.8,NorthEast,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T01022840,"Otter Creek near Bar Harbor, Maine",44.33277778,-68.2066667,2683216,g3,FALSE,82,8.1.8,NorthEast,0,0.41,165,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
T01022860,"Hadlock Bk nr Cedar Swamp Mtn nr Northeast Hbr, ME",44.33055556,-68.28277778,2683232,g3,FALSE,82,8.1.8,NorthEast,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T01023000,"WEST BRANCH UNION RIVER AT AMHERST, ME",44.840239,-68.372017,2679514,g2,FALSE,82,8.1.8,NorthEast,0,0.46,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01027200,"North Branch Penobscot River nr Pittston Farm, ME",45.935278,-69.993611,1702734,g2,FALSE,58,5.3.1,NorthEast,0,0.29,7494,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01029200,"Seboeis River near Shin Pond, Maine",46.143056,-68.633611,1711010,g2,FALSE,82,8.1.8,NorthEast,0,0.84,870,0.01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01030350,Wytopitlock Stream near Wytopitlock Maine,45.7086111,-68.1580556,3109,g3,FALSE,82,8.1.8,NorthEast,0,0.52,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01030500,"Mattawamkeag River near Mattawamkeag, Maine",45.500975,-68.305956,3923,g2,FALSE,82,8.1.8,NorthEast,0,0.54,22997,0.77,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01031300,"Piscataquis River at Blanchard, Maine",45.267222,-69.583889,1721977,g2,FALSE,58,5.3.1,NorthEast,0,0.15,156,0.21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01031500,"Piscataquis River near Dover-Foxcroft, Maine",45.175008,-69.314697,1722317,g2,FALSE,58,5.3.1,NorthEast,0.13,0.13,4659,0.81,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01031510,"Black Stream near Dover-Foxcroft, Maine",45.150278,-69.236389,1722933,g2,FALSE,82,8.1.8,NorthEast,0,0.29,1550,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01033500,"PLEASANT RIVER NEAR MILO, ME",45.282578,-69.003439,1721873,g2,FALSE,58,5.3.1,NorthEast,0,0.1,776,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01037000,"Kenduskeag Stream near Bangor, Maine",44.8611111,-68.8316667,1735782,g3,FALSE,82,8.1.8,NorthEast,0,0.85,20615,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
T01037380,"Ducktrap River near Lincolnville, Maine",44.329167,-69.060833,2685414,g2,FALSE,82,8.1.8,NorthEast,0,0.63,15,0.97,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01044550,"Spencer Stream near Grand Falls, Maine",45.313611,-70.241667,1032315,g2,FALSE,58,5.3.1,NorthEast,0,0.32,8452,0.22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01046000,"AUSTIN STREAM AT BINGHAM, ME",45.065186,-69.880767,3318560,g2,FALSE,58,5.3.1,NorthEast,0,0.29,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01047000,"Carrabassett River near North Anson, Maine",44.8692,-69.955103,3321976,g2,FALSE,58,5.3.1,NorthEast,0,0.37,3230,0.99,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01047200,"Sandy River near Madrid, Maine",44.857778,-70.485278,3323262,g2,FALSE,58,5.3.1,NorthEast,0,0.43,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01048220,"East Branch Wesserunsett Stream near Athens, Maine",44.9475,-69.656944,3320218,g2,FALSE,82,8.1.8,NorthEast,0,0.29,70,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01052500,"Diamond River near Wentworth Location, NH",44.877394,-71.057494,19334265,g2,FALSE,58,5.3.1,NorthEast,0,3.39,610,0.02,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01054200,"Wild River at Gilead, Maine",44.390444,-70.979644,6716129,g2,FALSE,58,5.3.1,NorthEast,0,2.54,0,0.05,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01054300,"Ellis River at South Andover, Maine",44.593242,-70.733017,6710239,g2,FALSE,58,5.3.1,NorthEast,0,0.68,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01055000,"Swift River near Roxbury, Maine",44.642747,-70.588783,6709987,g2,FALSE,58,5.3.1,NorthEast,0,0.55,0,0.24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01057000,"Little Androscoggin River near South Paris, Maine",44.303992,-70.539681,6711893,g2,FALSE,58,5.3.1,NorthEast,0,0.68,18870,1.48,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01063100,"Crooked River near Naples, Maine",43.978975,-70.56365,6720469,g3,FALSE,58,5.3.1,NorthEast,0,1.35,10690,1.1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01063310,"Stony Brook at East Sebago, Maine",43.85555556,-70.6397222,6720973,g3,FALSE,58,5.3.1,NorthEast,0,4.28,0,2.13,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T010642505,"SACO RIVER AT RIVER STREET, AT BARTLETT, NH",44.08388889,-71.2855556,9311719,g3,FALSE,58,5.3.1,NorthEast,0,1.91,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
T01064300,"ELLIS RIVER NEAR JACKSON, NH",44.218956,-71.24924,9311921,g2,FALSE,58,5.3.1,NorthEast,0,2.08,0,1.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01064400,"LUCY BROOK NEAR NORTH CONWAY, NH",44.070347,-71.172849,9311777,g2,FALSE,58,5.3.1,NorthEast,0,0.95,0,0.61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",43.830074,-71.287849,9315863,g2,FALSE,58,5.3.1,NorthEast,0,1.02,0,0.38,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01067950,"Kennebunk River near Kennebunk, Maine",43.43222,-70.55333,5845376,g2,FALSE,59,8.1.7,NorthEast,0,4.18,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
T01073000,"OYSTER RIVER NEAR DURHAM, NH",43.148696,-70.96506,5845058,g2,FALSE,59,8.1.7,NorthEast,0,7.72,0,8.43,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",44.047567,-71.659803,6728911,g2,FALSE,58,5.3.1,NorthEast,0,1.43,38.5,0.51,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01075800,"STEVENS BROOK NEAR WENTWORTH, NH",43.836181,-71.885361,6730101,g2,FALSE,58,5.3.1,NorthEast,0,1.43,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",43.70389,-71.83333,6730525,g2,FALSE,58,5.3.1,NorthEast,0,1.43,115,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
T01078000,"SMITH RIVER NEAR BRISTOL, NH",43.566463,-71.747857,6731199,g2,FALSE,58,5.3.1,NorthEast,0,15.9,806,1.22,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01079900,SHANNON BROOK NEAR MOULTONBOROUGH NH,43.73035295,-71.3572939,6738304,g3,FALSE,58,5.3.1,NorthEast,0,0.95,0,2.8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01084500,"BEARD BROOK NEAR HILLSBORO, NH",43.114246,-71.926192,6761428,g2,FALSE,58,5.3.1,NorthEast,0,10.06,694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01085800,"WEST BRANCH WARNER RIVER NEAR BRADFORD, NH",43.259243,-72.025917,6762736,g2,FALSE,58,5.3.1,NorthEast,0,30.68,0,0.86,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01086000,"WARNER RIVER AT DAVISVILLE, NH",43.251189,-71.7323,6761776,g2,FALSE,58,5.3.1,NorthEast,0,36.99,3178.7,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.014805,-71.641461,6741162,g2,FALSE,58,5.3.1,NorthEast,0,8.78,729.8,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
T01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",42.860085,-71.832854,6744228,g2,FALSE,58,5.3.1,NorthEast,0,8.78,0,0.44,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01096503,"NISSITISSIT RIVER AT PEPPERELL, MA",42.672034,-71.577013,6075395,g2,FALSE,59,8.1.7,NorthEast,0,10.1,475,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T01109090,"RATTLESNAKE BROOK NEAR ASSONET, MA",41.77677,-71.08921,6129677,g2,FALSE,59,8.1.7,NorthEast,0,13.68,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
T01115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",41.84676589,-71.6117311,6128513,g3,FALSE,59,8.1.7,NorthEast,0,33.77,66,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI",41.83759929,-71.6120089,6128591,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
T01115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",41.79759966,-71.5847857,6129613,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01115184,"SPRUCE BROOK NR NORTH SCITUATE, RI",41.7887107,-71.6200647,6128793,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
T01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",41.7906548,-71.6986785,6128769,g3,FALSE,59,8.1.7,NorthEast,0,33.77,5,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
T01115275,"BEAR TREE BROOK NR CLAYVILLE, RI",41.7825994,-71.67478879,6128827,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
T01115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",41.80398827,-71.6497879,6128763,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
T01115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,41.7648219,-71.6356207,6128907,g3,FALSE,59,8.1.7,NorthEast,0,33.77,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
T01115630,"NOOSENECK RIVER AT NOOSENECK, RI",41.626767,-71.632565,6129235,g2,FALSE,59,8.1.7,NorthEast,0,2.47,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
T01115670,"CONGDON RIVER NEAR NOOSENECK, RI",41.612322,-71.622842,6129267,g2,FALSE,59,8.1.7,NorthEast,0,3.66,175,6.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01115770,"CARR RIVER NEAR NOOSENECK, RI",41.643156,-71.607842,6129191,g2,FALSE,59,8.1.7,NorthEast,0,2.4,1530,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
T01117370,QUEEN R AT LIBERTY RD AT LIBERTY RI,41.53899,-71.568673,6140308,g2,FALSE,59,8.1.7,NorthEast,0,4.01,45,6.39,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
T01117468,"BEAVER RIVER NEAR USQUEPAUG, RI",41.4926,-71.628119,6140842,g2,FALSE,59,8.1.7,NorthEast,0,4.35,86,5.49,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01117800,"WOOD RIVER NEAR ARCADIA, RI",41.573988,-71.720623,6139996,g2,FALSE,59,8.1.7,NorthEast,0,3.32,700,2.09,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",41.474821,-71.834237,6140826,g2,FALSE,59,8.1.7,NorthEast,0,7.52,0,1.65,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01120500,"SAFFORD BK NR WOODSTOCK VALLEY, CT.",41.926486,-72.05702,6162411,g2,FALSE,59,8.1.7,NorthEast,0,4.04,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",41.843709,-72.168966,6162583,g2,FALSE,59,8.1.7,NorthEast,0,4.3,1814,4.03,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01121330,"FENTON RIVER AT MANSFIELD, CT",41.83319444,-72.2427806,6162579,g3,FALSE,59,8.1.7,NorthEast,0,5.48,267,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
T01123000,"LITTLE RIVER NEAR HANOVER, CT.",41.671765,-72.052298,6162981,g2,FALSE,59,8.1.7,NorthEast,0,4.05,418,2.38,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01125490,"LITTLE RIVER AT HARRISVILLE, CT",41.92784444,-71.9300083,6148469,g3,FALSE,59,8.1.7,NorthEast,0,6.12,754,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
T01127880,"BIG BROOK NEAR PITTSBURG, NH",45.135046,-71.205908,4592127,g2,FALSE,58,5.3.1,NorthEast,0,3.39,107,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01129440,MOHAWK RIVER NEAR COLEBROOK NH,44.8744921,-71.4100824,4592853,g3,FALSE,58,5.3.1,NorthEast,0,3.39,744,1.92,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01129500,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",44.74977166,-71.63120018,4593223,g3,FALSE,58,5.3.1,NorthEast,0,2.39,220597.14,0.67,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01130000,"UPPER AMMONOOSUC RIVER NEAR GROVETON, NH",44.625053,-71.468972,4593015,g2,FALSE,58,5.3.1,NorthEast,0,3.39,571,0.28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
T01134500,"MOOSE RIVER AT VICTORY, VT",44.511723,-71.837314,4570675,g2,FALSE,58,5.3.1,NorthEast,0,0.53,127,0.07,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01135000,"MOOSE RIVER AT ST. JOHNSBURY, VT",44.422836,-72.000094,4572303,g2,FALSE,58,5.3.1,NorthEast,0,0.63,1527,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01135150,"POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT",44.476167,-72.124543,4572347,g2,FALSE,58,5.3.1,NorthEast,0,0.93,0,0.52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01135300,"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",44.435335,-72.038429,4572307,g2,FALSE,58,5.3.1,NorthEast,0.83,0.93,0,2.49,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01137500,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",44.268674,-71.630362,4594599,g2,FALSE,58,5.3.1,NorthEast,0,2.52,25,2.04,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01138000,"AMMONOOSUC RIVER NEAR BATH, NH",44.153953,-71.985645,4594593,g2,FALSE,58,5.3.1,NorthEast,0.1,1.7,3098,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01139000,"WELLS RIVER AT WELLS RIVER, VT",44.150341,-72.065092,4573927,g2,FALSE,58,5.3.1,NorthEast,0,0.85,4632,1.77,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
T01139800,"EAST ORANGE BRANCH AT EAST ORANGE, VT",44.092842,-72.335653,4573939,g2,FALSE,58,5.3.1,NorthEast,0,0.6,0,0.36,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01141800,"MINK BROOK NEAR ETNA, NH",43.702293,-72.187033,9327014,g2,FALSE,58,5.3.1,NorthEast,0,1.43,0,0.26,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01142500,"AYERS BROOK AT RANDOLPH, VT",43.93451,-72.657882,6083547,g2,FALSE,58,5.3.1,NorthEast,0,0.8,0,2.58,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01144000,"WHITE RIVER AT WEST HARTFORD, VT",43.714236,-72.418149,6084505,g2,FALSE,58,5.3.1,NorthEast,0,0.92,2800,1.55,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01145000,"MASCOMA RIVER AT WEST CANAAN, NH",43.651183,-72.084808,9327582,g2,FALSE,58,5.3.1,NorthEast,0,1.43,1619,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T01150900,"OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT",43.622291,-72.75899,6089027,g2,FALSE,58,5.3.1,NorthEast,0,1.3,735,5.59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
T01153500,"WILLIAMS RIVER AT BROCKWAYS MILLS, VT",43.208687,-72.517589,10102312,g2,FALSE,58,5.3.1,NorthEast,0.38,13.68,31,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
